0,323.784,364.146
1,1628.33,926.625
2,404.312,460.521
3,666.821,2235.5
4,720.089,905.426
5,273.455,382.822
6,432.488,490.727
7,646.46,949.803
8,381.863,430.56
9,1945.34,558.447
10,796.642,465.71
11,392.29,415.22
12,620.594,738.821
13,719.965,402.324
14,769.421,472.45
15,1153.25,745.311
16,499.25,443.142
17,442.866,717.962
18,330.987,420.706
19,733.651,407.233
20,343.606,441.818
21,620.452,1521.33
22,403.263,753.78
23,347.828,350.137
24,459.581,495.431
25,607.08,740.933
26,390.105,425.954
27,1074.1,1074.33
28,501.179,453.103
29,296.371,290.313
30,3390.62,635.015
31,816.075,862.007
32,779.446,797.038
33,955.579,751.618
34,618.179,500.657
35,481.815,634.236
36,676.532,1068.75
37,395.018,831.787
38,920.433,1557.62
39,658.526,1303.95
40,451.46,496.344
41,822.335,567.731
42,324.05,350.045
43,1540.91,859.806
44,662.723,544.072
45,389.576,486.752
46,514.232,612.775
47,304.22,361.288
48,696.846,625.512
49,414.499,522.41
50,637.071,894.399
51,480.738,419.345
52,518.138,2073.14
53,6119.62,2277.5
54,325.952,349.74
55,791.388,697.26
56,558.277,2137.39
57,415.489,505.293
58,2291.42,2126.3
59,740.513,828.78
60,922.182,856.302
61,692.358,814.263
62,312.682,595.869
63,376.302,365.867
64,372.057,460.317
65,735.032,720.466
66,476.185,1147.78
67,477.455,343.223
68,699.826,663.445
69,439.804,405.871
70,297.713,315.635
71,714.222,651.618
72,463.323,491.073
73,638.175,931.434
74,344.438,462.655
75,760.676,735.797
76,832.68,825.807
77,393.406,381.124
78,467.417,533.526
79,434.513,608.898
80,4821.85,2443.86
81,1206.3,894.708
82,467.959,435.118
83,696.405,922.336
84,344.657,437.306
85,709.501,604.505
86,289.839,339.098
87,448.075,481.577
88,466.308,521.402
89,629.961,559.794
90,1839.58,1210.63
91,859.428,631.93
92,486.659,523.687
93,747.174,975.165
94,531.543,500.238
95,503.998,522.543
96,807.826,1881.91
97,738.592,540.552
98,955.608,451.165
99,472.794,733.373
100,539.393,751.859
101,498.96,548.223
102,369.405,1234.26
103,619.231,1396.22
104,957.574,710.634
105,393.208,467.895
106,846.76,517.83
107,390.968,465.792
108,452.847,349.516
109,434.031,434.956
110,280.202,338.535
111,1291.23,964.993
112,626.95,605.682
113,373.992,378.309
114,940.573,1100.05
115,695.606,663.558
116,324.377,359.424
117,541.696,591.875
118,451.532,609.302
